respondent,dept,n,dept_en,dept_fr
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",017,402,Indigenous and Northern Affairs Canada,Affaires autochtones et du Nord Canada
Number of employees,018,2572,Veterans Affairs Canada,Anciens Combattants Canada
Number of respondents,018,1347,Veterans Affairs Canada,Anciens Combattants Canada
Number of staffing advisors,018,14,Veterans Affairs Canada,Anciens Combattants Canada
Number of managers or supervisors,018,335,Veterans Affairs Canada,Anciens Combattants Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",018,145,Veterans Affairs Canada,Anciens Combattants Canada
Number of employees,019,4150,Department of Justice Canada,Ministère de la Justice Canada
Number of respondents,019,1895,Department of Justice Canada,Ministère de la Justice Canada
Number of staffing advisors,019,23,Department of Justice Canada,Ministère de la Justice Canada
Number of managers or supervisors,019,358,Department of Justice Canada,Ministère de la Justice Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",019,191,Department of Justice Canada,Ministère de la Justice Canada
Number of employees,020,1635,Canadian Heritage,Patrimoine canadien
Number of respondents,020,778,Canadian Heritage,Patrimoine canadien
Number of staffing advisors,020,7,Canadian Heritage,Patrimoine canadien
Number of managers or supervisors,020,279,Canadian Heritage,Patrimoine canadien
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",020,175,Canadian Heritage,Patrimoine canadien
Number of employees,021,747,Public Service Commission of Canada,Commission de la fonction publique du Canada
Number of respondents,021,361,Public Service Commission of Canada,Commission de la fonction publique du Canada
Number of staffing advisors,021,18,Public Service Commission of Canada,Commission de la fonction publique du Canada
Number of managers or supervisors,021,129,Public Service Commission of Canada,Commission de la fonction publique du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",021,77,Public Service Commission of Canada,Commission de la fonction publique du Canada
Number of employees,023,892,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada
Number of respondents,023,343,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada
Number of staffing advisors,023,10,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada
Number of managers or supervisors,023,87,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",023,47,Immigration and Refugee Board of Canada,Commission de l’immigration et du statut de réfugié du Canada
Number of employees,024,716,Department of Finance Canada,Ministère des Finances Canada
Number of respondents,024,320,Department of Finance Canada,Ministère des Finances Canada
Number of staffing advisors,024,4,Department of Finance Canada,Ministère des Finances Canada
Number of managers or supervisors,024,76,Department of Finance Canada,Ministère des Finances Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",024,48,Department of Finance Canada,Ministère des Finances Canada
Number of employees,025,416,Canadian Grain Commission,Commission canadienne des grains
Number of respondents,025,254,Canadian Grain Commission,Commission canadienne des grains
Number of staffing advisors,025,4,Canadian Grain Commission,Commission canadienne des grains
